dba,boro,cuisine_description,grade,inspection_count,first_inspection,last_inspection
"""U"" LIKE CHINESE TAKE OUT",Manhattan,Chinese,A,1,2025-09-11T00:00:00.000,2025-09-11T00:00:00.000
"""U"" LIKE CHINESE TAKE OUT",Manhattan,Chinese,B,1,2023-08-14T00:00:00.000,2023-08-14T00:00:00.000
#1 GARDEN CHINESE RESTAURANT,Brooklyn,Chinese,A,1,2024-07-02T00:00:00.000,2024-07-02T00:00:00.000
#1 SABOR LATINO RESTAURANT,Bronx,Latin American,A,1,2025-02-03T00:00:00.000,2025-02-03T00:00:00.000
#1 SABOR LATINO RESTAURANT,Bronx,Latin American,B,1,2024-03-12T00:00:00.000,2024-03-12T00:00:00.000
$1 PIZZA,Manhattan,Pizza,A,1,2024-10-03T00:00:00.000,2024-10-03T00:00:00.000
$1 PIZZA,Manhattan,Pizza,C,2,2023-07-13T00:00:00.000,2025-10-16T00:00:00.000
$1 SLICE PIZZA,Bronx,Pizza,A,1,2024-04-16T00:00:00.000,2024-04-16T00:00:00.000
$1.50  UTICA HOT PIZZA,Brooklyn,Pizza,A,1,2026-06-23T00:00:00.000,2026-06-23T00:00:00.000
$1.50  UTICA HOT PIZZA,Brooklyn,Pizza,B,1,2025-04-21T00:00:00.000,2025-04-21T00:00:00.000
$1.50  UTICA HOT PIZZA,Brooklyn,Pizza,C,1,2023-11-16T00:00:00.000,2023-11-16T00:00:00.000
$1.50 DELICIOUS PIZZA,Manhattan,Pizza,C,1,2024-06-20T00:00:00.000,2024-06-20T00:00:00.000
$1.50 FRESH PIZZA,Manhattan,Pizza,A,7,2023-07-19T00:00:00.000,2026-08-13T00:00:00.000
$1.50 FRESH PIZZA & HOT DOG,Manhattan,Pizza,B,2,2024-04-03T00:00:00.000,2025-02-13T00:00:00.000
$1.50 HOT PIZZA,Brooklyn,Pizza,A,2,2023-11-20T00:00:00.000,2025-04-25T00:00:00.000
$1.50 HOT PIZZA,Brooklyn,Pizza,B,1,2025-09-10T00:00:00.000,2025-09-10T00:00:00.000
$1.50 PIZZA SLICE,Manhattan,Pizza,B,1,2024-11-25T00:00:00.000,2024-11-25T00:00:00.000
% Arabica,Manhattan,Coffee/Tea,B,1,2026-04-15T00:00:00.000,2026-04-15T00:00:00.000
& MORE BY SHERATON,Queens,American,A,2,2023-03-27T00:00:00.000,2025-07-28T00:00:00.000
& MORE BY SHERATON,Queens,American,B,1,2024-07-30T00:00:00.000,2024-07-30T00:00:00.000
& SON,Manhattan,Steakhouse,A,1,2024-02-20T00:00:00.000,2024-02-20T00:00:00.000
1 BANANA QUEEN,Bronx,"Juice, Smoothies, Fruit Salads",A,2,2025-01-21T00:00:00.000,2026-05-14T00:00:00.000
1 EAST 66TH STREET KITCHEN,Manhattan,American,A,1,2025-12-02T00:00:00.000,2025-12-02T00:00:00.000
1 GOLDEN PANCAKE,Queens,Pancakes/Waffles,A,1,2025-03-27T00:00:00.000,2025-03-27T00:00:00.000
