boro,cuisine_description,grade,inspection_date,average_score,inspection_count
Brooklyn,Russian,A,2011-08-10T00:00:00.000,12.0,1
Brooklyn,Russian,A,2012-02-17T00:00:00.000,10.0,1
Brooklyn,Bakery Products/Desserts,A,2014-04-21T00:00:00.000,10.0,1
Brooklyn,Bakery Products/Desserts,C,2014-10-30T00:00:00.000,43.0,1
Brooklyn,Bakery Products/Desserts,A,2015-02-11T00:00:00.000,2.0,1
Manhattan,American,A,2015-10-14T00:00:00.000,5.0,1
Manhattan,American,A,2015-11-19T00:00:00.000,12.0,1
Brooklyn,Chicken,A,2015-12-09T00:00:00.000,11.0,1
Queens,American,A,2015-12-16T00:00:00.000,7.0,1
Manhattan,American,A,2016-03-11T00:00:00.000,9.0,1
Bronx,American,B,2016-03-23T00:00:00.000,27.0,1
Queens,American,A,2016-03-26T00:00:00.000,13.0,1
Queens,American,A,2016-04-26T00:00:00.000,5.0,1
Manhattan,American,A,2016-05-02T00:00:00.000,9.0,1
Manhattan,American,A,2016-05-03T00:00:00.000,2.0,1
Manhattan,American,A,2016-05-10T00:00:00.000,2.0,1
Queens,American,A,2016-05-14T00:00:00.000,0.0,1
Manhattan,American,A,2016-05-23T00:00:00.000,5.0,1
Manhattan,American,A,2016-05-25T00:00:00.000,11.0,1
Manhattan,Latin American,A,2016-05-26T00:00:00.000,8.0,1
Queens,American,A,2016-05-28T00:00:00.000,10.0,1
Bronx,American,A,2016-05-31T00:00:00.000,13.0,1
Manhattan,American,A,2016-06-02T00:00:00.000,2.0,1
Staten Island,American,A,2016-06-03T00:00:00.000,10.0,1
Queens,Italian,A,2016-06-07T00:00:00.000,3.0,1
Staten Island,Latin American,A,2016-06-08T00:00:00.000,9.0,1
Brooklyn,American,A,2016-06-11T00:00:00.000,10.0,1
Staten Island,American,A,2016-06-11T00:00:00.000,13.0,1
Manhattan,American,A,2016-06-15T00:00:00.000,0.5714285714285714,7
Staten Island,American,A,2016-06-17T00:00:00.000,11.0,1
Queens,American,A,2016-06-18T00:00:00.000,12.0,1
Manhattan,American,A,2016-06-29T00:00:00.000,11.0,1
Queens,American,A,2016-08-19T00:00:00.000,11.0,1
Manhattan,American,A,2016-08-20T00:00:00.000,12.0,1
Queens,American,A,2016-08-25T00:00:00.000,7.0,2
Queens,American,A,2016-09-01T00:00:00.000,13.0,1
Queens,Japanese,A,2016-09-02T00:00:00.000,6.0,1
Manhattan,American,A,2016-09-07T00:00:00.000,10.0,1
Brooklyn,Vegetarian,B,2016-09-08T00:00:00.000,20.0,1
Brooklyn,American,A,2016-09-09T00:00:00.000,1.0,2
Queens,Korean,A,2016-09-17T00:00:00.000,12.0,1
Brooklyn,Spanish,C,2016-09-19T00:00:00.000,5.0,1
Brooklyn,Spanish,B,2016-09-23T00:00:00.000,20.0,1
Queens,American,A,2016-10-03T00:00:00.000,5.0,1
Bronx,American,B,2016-10-06T00:00:00.000,21.0,1
Queens,Korean,A,2016-10-06T00:00:00.000,7.0,1
Manhattan,American,A,2016-10-07T00:00:00.000,7.0,1
Brooklyn,Tapas,B,2016-10-12T00:00:00.000,16.0,1
Manhattan,American,A,2016-10-13T00:00:00.000,9.0,1
Manhattan,Mediterranean,A,2016-10-13T00:00:00.000,9.0,1
Bronx,American,A,2016-10-15T00:00:00.000,12.0,1
Manhattan,Hotdogs,A,2016-10-22T00:00:00.000,10.0,1
Queens,American,A,2016-10-29T00:00:00.000,10.0,1
Brooklyn,Caribbean,A,2016-11-04T00:00:00.000,2.0,1
Manhattan,American,A,2016-11-09T00:00:00.000,12.0,1
Queens,American,A,2016-11-10T00:00:00.000,13.0,1
Manhattan,Coffee/Tea,C,2016-11-12T00:00:00.000,28.0,1
Manhattan,Hotdogs,A,2016-11-12T00:00:00.000,2.0,1
Queens,American,A,2016-12-06T00:00:00.000,9.0,1
Queens,American,A,2016-12-07T00:00:00.000,1.5,2
Queens,Bottled Beverages,A,2016-12-07T00:00:00.000,10.0,1
Queens,German,A,2016-12-07T00:00:00.000,2.0,1
Queens,Hamburgers,A,2016-12-07T00:00:00.000,7.0,1
Queens,Sandwiches/Salads/Mixed Buffet,A,2016-12-07T00:00:00.000,0.0,1
Manhattan,Vegan,A,2016-12-13T00:00:00.000,13.0,1
Manhattan,American,A,2016-12-18T00:00:00.000,3.0,1
Queens,Coffee/Tea,A,2017-01-12T00:00:00.000,3.0,1
Queens,Sandwiches/Salads/Mixed Buffet,A,2017-01-12T00:00:00.000,2.0,1
Queens,Jewish/Kosher,A,2017-01-19T00:00:00.000,3.0,1
Manhattan,American,A,2017-01-24T00:00:00.000,2.0,1
Brooklyn,American,A,2017-01-25T00:00:00.000,5.0,2
Queens,Mediterranean,A,2017-01-26T00:00:00.000,10.0,1
Manhattan,American,A,2017-01-27T00:00:00.000,5.0,1
Manhattan,American,A,2017-02-01T00:00:00.000,7.5,2
Brooklyn,American,A,2017-02-02T00:00:00.000,9.0,1
Queens,Caribbean,B,2017-02-04T00:00:00.000,20.0,1
Queens,Latin American,A,2017-02-04T00:00:00.000,7.0,1
Brooklyn,Chicken,A,2017-02-07T00:00:00.000,13.0,1
Queens,American,A,2017-02-08T00:00:00.000,10.0,1
Manhattan,American,A,2017-02-10T00:00:00.000,3.1666666666666665,6
Brooklyn,Sandwiches,A,2017-02-15T00:00:00.000,2.0,1
Staten Island,American,A,2017-02-22T00:00:00.000,11.0,1
Manhattan,American,A,2017-02-23T00:00:00.000,7.0,1
Queens,Coffee/Tea,A,2017-03-01T00:00:00.000,2.0,1
Queens,Japanese,A,2017-03-01T00:00:00.000,2.0,1
Queens,American,A,2017-03-04T00:00:00.000,5.0,1
