boro,cuisine_description,grade,violation_description,violation_count
0,American,A,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,1
0,American,A,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,2
0,American,A,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",2
0,American,A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",2
0,American,A,Evidence of mice or live mice in establishment's food or non-food areas.,1
0,American,A,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",1
0,American,A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,1
0,American,A,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",2
0,American,A,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",4
0,American,A,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",8
0,American,A,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",1
0,American,A,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",1
0,American,A,"Single service article not provided. Single service article reused or not protected from contamination when transported, stored, dispensed. Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.",1
0,American,A,"Tobacco or electronic cigarette use, eating, or drinking from open container in food preparation, food storage or dishwashing area.",1
0,American,A,Wash hands sign not posted near or above hand washing sink.,2
0,American,A,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",1
0,American,B,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,1
0,American,B,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",1
0,American,B,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",1
0,Bakery Products/Desserts,A,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,1
0,Bakery Products/Desserts,A,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",1
0,Bakery Products/Desserts,A,"Food worker/food vendor does not wash hands thoroughly  after using the toilet, or after coughing, sneezing, smoking, eating, preparing raw foods or otherwise contaminating hands or does not change gloves when required; Worker fails to refrain from smoking or  being fully clothed in clean outer garments.",1
0,Bakery Products/Desserts,A,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",1
0,Bakery Products/Desserts,A,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",1
0,Bakery Products/Desserts,A,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2
0,Coffee/Tea,A,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,2
0,Coffee/Tea,A,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",4
0,Coffee/Tea,A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,1
0,Coffee/Tea,A,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",1
0,Coffee/Tea,A,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",3
0,Coffee/Tea,A,"Properly scaled and calibrated thermometer or thermocouple not provided or not readily accessible in food preparation and hot/cold holding areas to measure temperatures of TCS foods during cooking, cooling, reheating, and holding.",1
0,Coffee/Tea,B,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",1
0,Coffee/Tea,B,Evidence of mice or live mice in establishment's food or non-food areas.,1
0,Coffee/Tea,B,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",1
0,Coffee/Tea,B,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",1
0,Coffee/Tea,B,Live roaches in facility's food or non-food area.,1
0,Coffee/Tea,B,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",1
0,Coffee/Tea,C,"Dishwashing and ware washing:  Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",1
0,Coffee/Tea,C,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",1
0,Coffee/Tea,C,Evidence of mice or live mice in establishment's food or non-food areas.,1
0,Coffee/Tea,C,Evidence of rats or live rats in establishment's food or non-food areas.,1
0,Coffee/Tea,C,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",1
0,Coffee/Tea,C,"Food adulterated or misbranded.  Adulterated or misbranded food possessed, being manufactured, produced, packed, sold, offered for sale, delivered or given away",1
0,Coffee/Tea,C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",1
0,Coffee/Tea,C,"Food, prohibited, from unapproved or unknown source, home canned or home prepared.  Animal slaughtered, butchered or dressed (eviscerated, skinned) in establishment. Reduced Oxygen Packaged (ROP) fish not frozen before processing.  ROP food prepared on premises transported to another site.",1
0,Coffee/Tea,C,"Meat, fish, molluscan shellfish, unpasteurized raw shell eggs, poultry or other TCS offered or served raw or undercooked and written notice not provided to consumer.",1
0,Continental,A,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,1
0,Continental,A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",1
0,Continental,A,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",1
0,Continental,A,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",1
0,Continental,A,"Garbage receptacle not pest or water resistant, with tight-fitting lids, and covered except while in active use. Garbage receptacle and cover not cleaned after emptying and prior to reuse. Garbage, refuse and other solid and liquid waste not collected, stored, removed and disposed of so as to prevent a nuisance.",1
0,Continental,A,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2
0,French,A,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,1
0,French,A,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",1
0,French,A,Hot TCS food item not held at or above 140 °F.,1
0,French,A,"Tobacco or electronic cigarette use, eating, or drinking from open container in food preparation, food storage or dishwashing area.",1
0,French,B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,1
0,French,B,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,1
0,French,B,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",1
0,French,B,Evidence of mice or live mice in establishment's food or non-food areas.,1
0,French,B,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",1
0,French,C,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",1
0,French,C,Evidence of mice or live mice in establishment's food or non-food areas.,1
0,French,C,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",1
0,French,C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",1
0,French,C,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",1
0,French,C,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",1
0,Italian,A,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",1
0,Italian,A,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",1
0,Italian,A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",1
0,Italian,A,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",1
